sgis_adm_cd,resident_adm_code,district_name,adm_name,full_adm_name,population,age_60_69,age_70_79,age_80_89,age_90_99,age_100_plus,elderly_population_60_plus,elderly_ratio_60_plus,area_km2,elderly_density_per_km2,green_ratio_percent,shelter_count,shelter_capacity_total,shelters_per_1000_elderly,capacity_per_1000_elderly,coverage_ratio_500m_area,coverage_gap_500m_area,nearest_shelter_distance_m_centroid,estimated_covered_elderly_area,estimated_uncovered_elderly_area,grid_cell_count_100m,grid_population_total,grid_accessibility_index_exp_d_300,grid_accessibility_lack_score,grid_population_weighted_accessibility_index,grid_population_weighted_accessibility_lack_score,grid_mean_nearest_shelter_distance_m,grid_beyond_500m_ratio,heat_score,vulnerability_score,access_score_existing_area_based,priority_score_existing_pipeline,shelter_source_mode,boundary_source
22510150,2771026200,달성군,옥포읍,대구광역시 달성군 옥포읍,22094,4323,2511,895,130,1,7860,0.355753,46.725508,168.216,63.5,18,795.0,2.29,101.145,0.236841,0.763159,605.653,1861.6,5998.4,4660,23011.0,0.12681,87.319,0.371129,62.887,1050.53,0.762017,0.0,22.479,42.34,20.57,cache,SGIS 2025 adm_cd=22 low_search=2
22510140,2771025900,달성군,유가읍,대구광역시 달성군 유가읍,31210,2666,1294,443,82,0,4485,0.143704,56.31046,79.648,75.4,21,736.0,4.682,164.103,0.239782,0.760218,1498.502,1075.4,3409.6,5620,30865.0,0.125311,87.469,0.203488,79.651,1092.759,0.760498,0.0,0.233,65.5,19.732,cache,SGIS 2025 adm_cd=22 low_search=2
22510320,2771033000,달성군,하빈면,대구광역시 달성군 하빈면,3096,983,566,342,82,2,1975,0.63792,38.872721,50.807,53.6,29,1054.0,14.684,533.671,0.452285,0.547715,583.926,893.3,1081.7,3889,3880.0,0.219827,78.017,0.482597,51.74,571.712,0.547442,0.0,51.111,33.997,28.088,cache,SGIS 2025 adm_cd=22 low_search=2
22510160,2771026500,달성군,현풍읍,대구광역시 달성군 현풍읍,20850,2957,1802,723,143,1,5626,0.269832,25.064701,224.459,46.6,25,1078.0,4.444,191.61,0.364816,0.635184,722.289,2052.5,3573.5,2512,23960.0,0.194059,80.594,0.404045,59.596,646.195,0.634952,0.0,13.844,40.76,17.074,cache,SGIS 2025 adm_cd=22 low_search=2
22510110,2771025000,달성군,화원읍,대구광역시 달성군 화원읍,45279,9230,4733,1782,277,4,16026,0.353939,26.397206,607.11,68.0,36,1410.0,2.246,87.982,0.327201,0.672799,739.138,5243.7,10782.3,2639,45837.0,0.180499,81.95,0.631334,36.867,862.969,0.672224,0.0,24.099,42.557,21.202,cache,SGIS 2025 adm_cd=22 low_search=2
22020710,2714076000,동구,공산동,대구광역시 동구 공산동,19641,3823,2739,1321,277,4,8164,0.415661,83.431132,97.853,81.4,5,337.0,0.612,41.279,0.026991,0.973009,2523.433,220.4,7943.6,8348,21102.0,0.017383,98.262,0.263335,73.666,3074.044,0.972928,0.0,28.371,99.767,39.86,cache,SGIS 2025 adm_cd=22 low_search=2
22020620,2714061500,동구,도평동,대구광역시 동구 도평동,3355,733,520,267,50,0,1570,0.467958,21.135566,74.282,82.9,1,83.0,0.637,52.866,0.030409,0.969591,2970.522,47.7,1522.3,2120,3591.0,0.019207,98.079,0.287324,71.268,2326.738,0.96934,0.0,33.67,99.998,41.784,cache,SGIS 2025 adm_cd=22 low_search=2
22020660,2714065500,동구,동촌동,대구광역시 동구 동촌동,13744,2861,1927,914,120,3,5825,0.423821,3.197491,1821.741,61.2,6,166.0,1.03,28.498,0.549899,0.450101,343.762,3203.2,2621.8,323,14240.0,0.28827,71.173,0.492745,50.725,499.736,0.452012,0.0,36.313,24.216,19.974,cache,SGIS 2025 adm_cd=22 low_search=2
22020680,2714067000,동구,방촌동,대구광역시 동구 방촌동,16667,3692,2480,1155,222,6,7555,0.453291,1.349995,5596.316,13.8,7,220.0,0.927,29.12,0.951795,0.048205,280.869,7190.8,364.2,135,16921.0,0.481864,51.814,0.565712,43.429,244.861,0.044444,0.0,54.902,8.071,21.637,cache,SGIS 2025 adm_cd=22 low_search=2
22020630,2714062000,동구,불로.봉무동,대구광역시 동구 불로·봉무동,19329,3031,1898,735,114,3,5781,0.299084,7.619523,758.709,49.2,6,195.0,1.038,33.731,0.418859,0.581141,158.738,2421.4,3359.6,756,19607.0,0.208255,79.175,0.432808,56.719,623.83,0.582011,0.0,19.063,24.124,13.91,cache,SGIS 2025 adm_cd=22 low_search=2
22020510,2714051000,동구,신암1동,대구광역시 동구 신암1동,10724,1570,1230,717,91,2,3610,0.336628,0.599886,6017.809,6.5,2,22.0,0.554,6.094,0.985181,0.014819,213.923,3556.5,53.5,61,10575.0,0.493853,50.615,0.495841,50.416,235.823,0.016393,0.0,44.6,5.121,17.146,cache,SGIS 2025 adm_cd=22 low_search=2
22020520,2714052000,동구,신암2동,대구광역시 동구 신암2동,11405,1574,1185,618,97,1,3475,0.304691,0.357112,9730.85,1.3,3,118.0,0.863,33.957,1.0,0.0,211.541,3475.0,0.0,35,11819.0,0.608151,39.185,0.628034,37.197,159.125,0.0,0.0,56.599,4.524,21.167,cache,SGIS 2025 adm_cd=22 low_search=2
